STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",26/06/2013,7.38,1.48,0,73,80,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27/06/2013,7.16,0.92,0,76,90,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",28/06/2013,10.96,0,0,75,83,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",29/06/2013,12.3,0,0,68,72,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",30/06/2013,13.87,0,0,68,77,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/07/2013,12.3,0,0,68,75,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/07/2013,11.18,0,0,65,68,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/07/2013,5.37,0.02,0,64,72,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/07/2013,5.14,0,0,69,83,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",05/07/2013,4.92,0,0,74,86,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",06/07/2013,4.47,0,0,75,83,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",07/07/2013,6.71,0,0,77,88,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",08/07/2013,8.5,0.5,0,78,86,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",09/07/2013,7.38,0,0,80,85,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/07/2013,8.28,0,0,81,85,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/07/2013,7.38,0,0,73,81,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/07/2013,4.92,0,0,72,83,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/07/2013,7.61,0,0,74,84,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/07/2013,7.61,0,0,78,88,72
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/07/2013,5.14,0.09,0,80,89,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/07/2013,6.71,0,0,81,92,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/07/2013,6.93,0,0,85,94,76
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/07/2013,8.05,0,0,85,95,77
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/07/2013,14.09,0.58,0,86,96,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/07/2013,7.61,0.06,0,80,89,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/07/2013,6.71,0.01,0,76,88,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/07/2013,7.38,0,0,76,87,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/07/2013,10.96,0.03,0,75,78,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",24/07/2013,8.05,0,0,66,72,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",25/07/2013,5.14,0,0,68,81,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",26/07/2013,8.5,0.39,0,69,70,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27/07/2013,10.51,0,0,62,65,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",28/07/2013,9.17,0,0,60,69,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",29/07/2013,6.93,0,0,65,76,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",30/07/2013,4.7,0.04,0,66,74,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",31/07/2013,4.47,0.5,0,68,75,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/08/2013,7.83,0,0,70,81,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/08/2013,8.28,0.63,0,72,84,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/08/2013,6.71,0,0,74,81,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/08/2013,7.83,0,0,69,75,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",05/08/2013,7.61,0.07,0,66,75,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",06/08/2013,8.05,0.04,0,72,83,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",07/08/2013,9.84,0,0,79,89,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",08/08/2013,9.4,0,0,72,78,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",09/08/2013,5.37,0,0,72,82,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/08/2013,6.49,0,0,74,81,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/08/2013,2.91,0.01,0,71,81,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/08/2013,7.61,0.27,0,74,82,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/08/2013,9.62,0,0,67,70,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/08/2013,7.16,0,0,64,72,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/08/2013,4.92,0,0,64,75,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/08/2013,5.14,0,0,69,82,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/08/2013,6.49,0,0,71,81,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/08/2013,4.92,0,0,72,81,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/08/2013,5.37,0,0,72,85,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/08/2013,8.05,0,0,77,88,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/08/2013,8.95,0.01,0,79,90,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/08/2013,6.93,0.23,0,75,78,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/08/2013,6.71,0,0,73,82,62
